respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
160,500-1000,1,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,0,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,Neutral,Maybe/Not sure,No,Yes,Sometimes
161,More than 1000,1,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat not open,No,Not applicable,Yes,Sometimes
162,100-500,1,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,Yes,Yes,Always
163,26-100,1,I don't know,No,No,I don't know,Yes,Very easy,No,No,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Very open,No,Not applicable,No,Always
164,500-1000,1,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
165,500-1000,1,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Yes,Very open,"Yes, I observed",No,Yes,Sometimes
166,100-500,1,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Somewhat open,Maybe/Not sure,No response,No,Always
167,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat not open,No response,No response,No,Sometimes
168,500-1000,1,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Very open,No,Not applicable,Yes,Always
169,26-100,1,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,0,1,Some did,I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Very open,No,Not applicable,No,Always
170,6-25,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,Yes,Always
171,100-500,1,Yes,I am not sure,No,Yes,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,Neutral,No,Not applicable,No,Always
172,500-1000,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
173,100-500,1,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Neutral,No,Not applicable,Yes,Always
174,1-5,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",Maybe,No,Somewhat open,"Yes, I experienced",Maybe,Yes,Sometimes
175,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,0,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat not open,No,Not applicable,No,Sometimes
176,500-1000,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
177,6-25,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No response,No response,No,Always
178,500-1000,1,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
179,26-100,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,No,Not applicable,No,Sometimes
180,500-1000,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,No,Not applicable,No,Never
181,More than 1000,1,No,Not applicable,No,No,No,Somewhat easy,Yes,No,No,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,Somewhat open,No,Not applicable,No,Sometimes
182,26-100,1,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Yes,Very open,No,Not applicable,I don't know,Never
183,26-100,1,Yes,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,Yes,0,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Sometimes
184,100-500,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,No,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Never
185,6-25,1,Not eligible for coverage / N/A,Not applicable,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,0,1,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not open at all,No,Not applicable,Yes,Sometimes
186,100-500,1,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"No, none did","No, I only became aware later",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,No,I don't know,Always
187,500-1000,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat not open,No,Not applicable,Yes,Always
188,26-100,1,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,1,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Maybe,No,Neutral,"Yes, I observed",Yes,Yes,Sometimes
189,26-100,1,No,Not applicable,No,No,No,Somewhat easy,Maybe,No,Maybe,No,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,Somewhat not open,No,Not applicable,No,Always
190,26-100,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,I don't know,Sometimes
191,100-500,1,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,1,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,"Yes, I experienced",No,Yes,Never
192,26-100,1,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Not open at all,Maybe/Not sure,No,I don't know,Sometimes
193,More than 1000,0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,Yes,Somewhat open,"Yes, I observed",Maybe,Yes,Never
194,500-1000,1,Yes,I am not sure,No,No,Yes,Very easy,No,No,No,No,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,Maybe,Somewhat not open,No response,No response,No,Sometimes
195,500-1000,1,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Very open,No,Not applicable,Yes,Always
196,More than 1000,1,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
197,26-100,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Yes,Very open,No,Not applicable,Yes,Sometimes
198,100-500,1,No,Not applicable,No,I don't know,I don't know,Very easy,Maybe,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers","Yes, they all did",Some of them,Maybe,Yes,Somewhat not open,"Yes, I observed",No response,No,Never
199,100-500,1,No,Not applicable,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Yes,Somewhat open,No,Not applicable,No,Sometimes
200,100-500,1,Not eligible for coverage / N/A,Not applicable,Yes,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,No,Yes,0,1,"No, none did","No, I only became aware later",I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Somewhat open,No,Not applicable,I don't know,Never
201,6-25,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Sometimes
202,500-1000,1,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,Somewhat open,No,Not applicable,I don't know,Always
203,6-25,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Neutral,No,Not applicable,I don't know,Sometimes
204,More than 1000,1,Not eligible for coverage / N/A,Not applicable,Yes,Yes,Yes,Very easy,Yes,No,Maybe,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,No,Somewhat open,"Yes, I experienced",No response,No,Sometimes
205,6-25,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,Some did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I observed",No,Yes,Always
206,More than 1000,0,No,Not applicable,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Not applicable to me (I do not have a mental illness),No response,No response,No,Never
207,500-1000,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,Somewhat open,Maybe/Not sure,No response,Yes,Never
208,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,No,Maybe,No,0,1,Some did,I was aware of some,Some did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
209,500-1000,1,Yes,I am not sure,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,1,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,Not open at all,"Yes, I experienced",Yes,I don't know,Always
210,26-100,1,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,"Yes, I observed",No,Yes,Sometimes
211,26-100,1,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,1,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,No,Somewhat not open,"Yes, I experienced",No response,Yes,Sometimes
212,1-5,0,No,Not applicable,Yes,No,No,Somewhat easy,No,No,Yes,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Sometimes
213,26-100,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,1,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Never
214,26-100,1,Yes,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,"No, I only became aware later",Some did,None did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
215,500-1000,1,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,No,Somewhat not open,Maybe/Not sure,No,Yes,Sometimes
216,26-100,1,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Very open,No,Not applicable,Yes,Sometimes
217,26-100,1,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"No, I only became aware later",Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
218,26-100,1,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,No,0,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I observed",Yes,No,Sometimes
219,More than 1000,0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Yes,1,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,None did,Some of them,Maybe,No,Very open,"Yes, I observed",Maybe,No,Sometimes
220,More than 1000,1,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,"Yes, I experienced",Maybe,Yes,Sometimes
221,100-500,1,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Very open,Maybe/Not sure,No,No,Always
222,26-100,1,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,Yes,No,Never
223,26-100,1,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat open,"Yes, I experienced",No,Yes,Sometimes
224,26-100,1,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
225,100-500,1,No,Not applicable,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,1,1,Some did,I was aware of some,None did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,Somewhat not open,"Yes, I experienced",Yes,Yes,Sometimes
226,26-100,1,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat not open,"Yes, I observed",Yes,No,Sometimes
227,6-25,1,I don't know,Yes,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,1,1,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,No,Maybe,Somewhat not open,No,Not applicable,Yes,Always
228,26-100,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Very open,No,Not applicable,Yes,Sometimes
229,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Somewhat open,"Yes, I experienced",Maybe,No,Sometimes
230,26-100,1,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,No,No,Maybe,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Neutral,No,Not applicable,I don't know,Never
231,500-1000,1,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,Somewhat open,Maybe/Not sure,No response,I don't know,Never
232,100-500,0,I don't know,I am not sure,No,Yes,I don't know,Very difficult,Yes,Yes,No,Maybe,No,1,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",I don't know,None of them,"No, at none of my previous employers","Yes, at all of my previous employers",None did,None of them,Yes,Maybe,Not open at all,Maybe/Not sure,Maybe,I don't know,Never
233,More than 1000,1,Yes,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,No,I don't know,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Always
234,26-100,1,Yes,No,Yes,I don't know,Yes,Very difficult,Maybe,Maybe,Maybe,No,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
235,More than 1000,1,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Not open at all,"Yes, I observed",No response,Yes,Always
236,100-500,1,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,No,No,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
237,6-25,1,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,No,No,Somewhat open,No,Not applicable,Yes,Never
238,100-500,0,No,Not applicable,No,Yes,I don't know,Neither easy nor difficult,Yes,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,Somewhat not open,"Yes, I experienced",No response,I don't know,Sometimes
239,100-500,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,Somewhat not open,Maybe/Not sure,No,Yes,Never
240,100-500,1,Yes,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,No,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,Somewhat open,"Yes, I experienced",Yes,Yes,Always
241,500-1000,1,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,No,No,No,Yes,Yes,0,1,I don't know,N/A (not currently aware),I don't know,"Yes, they all did",I don't know,None of them,None of them,"No, at none of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Somewhat open,No,Not applicable,I don't know,Sometimes
242,6-25,1,No,Not applicable,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I observed",Yes,Yes,Sometimes
243,500-1000,1,I don't know,No,No,No,I don't know,Somewhat easy,No,No,No,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Neutral,No,Not applicable,Yes,Sometimes
244,6-25,1,No,Not applicable,No,No,No,I don't know,Maybe,Maybe,No,No,No,1,1,I don't know,N/A (not currently aware),"Yes, they all did",None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,Never
245,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,I don't know,Sometimes
246,26-100,1,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Somewhat open,No,Not applicable,Yes,Never
